,World,EM,SmallCap,GlobalBond,ShortBond,InflLinked
HRP (unconstrained),0.008785014893499319,0.013509234214025912,0.006026247718893787,0.13447368400852427,0.7282229439370363,0.10898287522802044
NCO min-var (unconstrained),0.0003118449543996855,9.965102342386914e-05,0.0,0.0,0.9703548720462741,0.02923363197590233
NCO w/ hist. returns (unconstrained),0.3496855219514434,0.00867883133918897,0.0,0.0,0.5323759956541373,0.1092596510552303
58yo 60/40 HRP-in-sleeves,0.1861199317373022,0.2862075682533303,0.12767250000936742,0.05535721750611092,0.2997790697688295,0.0448637127250596
64yo 25/75 HRP-in-sleeves,0.07754997155720926,0.11925315343888765,0.0531968750039031,0.10379478282395796,0.5620857558165553,0.08411946135948675
58yo 60/40 (hand),0.45,0.08,0.07,0.2,0.12,0.08
64yo 25/75 (hand),0.2,0.03,0.02,0.25,0.3,0.2
