Portfolio,CAGR %,Vol %,MaxDD %,Equity %
HRP (unconstrained),0.8998290545445542,2.4720349917122206,-9.728282529415067,2.8320496826419017
NCO min-var (unconstrained),0.4599407942423417,1.8461740678577445,-8.684687048314988,0.04114959778235547
NCO w/ hist. returns (unconstrained),4.928566940382995,5.511640793734893,-9.82855634111609,35.836435329063235
58yo 60/40 HRP-in-sleeves,6.428743541122373,8.351584138386025,-13.981342033846367,59.999999999999986
64yo 25/75 HRP-in-sleeves,3.0728034957443917,4.353804857742689,-10.333566840366881,25.0
58yo 60/40 (hand),7.393514401228862,8.579797999045496,-13.430657304369632,60.00000000000001
64yo 25/75 (hand),3.6773733642168294,4.978852947676488,-11.654531812227486,25.0
